"Year","Article","Part","Chapter","G1","G2","G3","G4","G5","G6","G7","G8","G9","G10","G11","G12","G13","G14","G15","G16","G17","G18","G19","G20","G21","G22","G23","G24","G25","G26","G27","G28","G29","G30","G31","G32","G33","G34","G35","G36","G37","G38","G39","G40","G41","G42","G43","G44","G45","G46","G47","G48","G49","G50","G51","G52","G53","G54","G55","G56","G57","G58","G59","G60","G61","G62","G63","G64","G65","G185","G187"
2013,"Article  121",1,"II",1764,1702,56,312,12,0,0,1237,0,7,33,300,312,813,266,33,244,3,5,2,3,2,0,17,31,24,21,33,155,86,1138,278,0,0,86,32,454,717,421,46,8,5,113,193,348,191,62,95,97,3,169,1,15,33,30,154,85,78,5,2,36,11,0,68,5,0,0
2013,"Article  121",2,"II",810,789,18,86,186,0,0,632,0,3,20,153,145,385,92,12,97,0,6,0,0,1,0,5,9,7,12,18,50,31,573,164,0,1,34,16,213,347,176,20,4,5,56,100,205,122,30,53,53,2,105,3,7,18,17,68,52,50,1,1,20,6,1,61,3,0,0
2013,"Article  122",1,"II",2228,2204,18,131,61,0,0,989,1,11,76,525,405,962,218,31,343,1,23,1,5,2,1,42,41,53,48,37,110,87,1434,257,0,0,142,63,542,973,452,46,10,7,124,235,323,211,56,56,63,4,187,7,22,28,12,134,66,57,4,5,34,10,0,79,10,0,0
2013,"Article  122",2,"II",14,12,2,1,0,0,0,7,0,0,0,2,1,9,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,11,2,0,0,2,0,1,7,4,0,0,0,0,3,3,3,0,0,1,0,1,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0
2013,"Article  123",0,"II",7,7,0,1,0,0,0,2,0,0,0,0,2,4,1,0,1,0,0,0,0,0,0,3,0,0,0,0,1,0,2,1,0,0,0,0,3,3,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
2013,"Article  124",0,"II",136,130,6,39,5,0,0,71,0,0,2,24,24,65,15,6,19,1,0,0,1,0,0,5,4,0,1,2,15,5,82,17,0,1,7,2,36,64,23,2,2,0,6,11,22,10,6,6,6,0,10,0,0,4,2,11,6,5,0,1,1,0,1,3,0,0,0
2013,"Article  125",1,"II",4963,4927,30,720,133,0,0,2017,1,1,40,687,841,2535,753,106,792,8,33,1,11,15,0,116,77,27,40,61,372,229,3181,402,0,0,311,102,1271,2314,892,65,8,25,236,475,486,320,76,90,122,6,247,9,26,47,29,265,78,68,7,3,58,10,0,73,12,0,0
2013,"Article  125",2,"II",2600,2583,13,283,133,0,0,1122,0,0,45,535,478,1153,340,49,405,4,17,0,8,10,0,48,35,32,35,53,192,113,1648,222,0,0,167,63,609,1242,480,32,7,9,141,258,279,191,48,40,80,1,131,3,16,26,22,118,65,60,4,1,33,8,1,58,4,0,0
2013,"Article  126",1,"II",357,357,0,41,1,0,0,171,0,0,2,48,68,187,49,3,39,1,0,0,1,1,0,9,2,2,0,9,31,13,249,43,0,0,20,4,93,155,80,4,1,2,9,40,47,27,6,14,14,1,22,0,2,3,5,26,7,7,0,0,2,0,0,10,2,0,0
2013,"Article  126",2,"II",11,10,1,0,8,0,0,5,0,0,0,6,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,1,0,0,0,0,0,7,4,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
